ID,Make,Model,Year,Color,Doors,Wheels,HorsePower,Video,ImageURL
1,Toyota,Corolla,2021,Red,4,4,100,Demo.mp4,https://dealer-content.s3.amazonaws.com/images/models/toyota/2021/corolla/colors/barcelona-red-metallic.png
2,Honda,Civic,2019,Blue,4,4,200,BuildToolsDemo.mp4,https://di-uploads-pod2.dealerinspire.com/underrinerhondaredesign/uploads/2018/12/2019-Honda-Civic-Sport-Aegean-Blue-Metallic.png
3,Ford,Mustang,2022,Black,4,4,300,Demo_Ford.mp4,https://tse3.mm.bing.net/th?id=OIP.BUquBgcPHq1XiMLikM7GRwHaFj&pid=Api&P=0&h=180
4,Chevrolet,Silverado,2020,White,4,4,300,ChevyTruckDemo.mp4,https://tse1.mm.bing.net/th?id=OIP.YAbh0yYoa1ZEd8HgGo_JvQHaFj&pid=Api&P=0&h=180
5,BMW,X5,2023,Gray,4,4,200,BMW_X5_Demo.mp4,https://tse3.mm.bing.net/th?id=OIP.SKwi4ReupIdeMffOHIhiuwAAAA&pid=Api&P=0&h=180
6,Nissan,Rogue,2021,Blue,4,4,150,Nissan_Demo.mp4,https://tse1.mm.bing.net/th?id=OIP.TyaD5AbD-HCceUh7lTYL7QHaFj&pid=Api&P=0&h=180
7,Mercedes-Benz,C-Class,2022,Silver,4,4,1000,Merc_Demo.mp4,https://tse4.mm.bing.net/th?id=OIP.c3kPpIa-pYFlmIXTodqxyQHaE4&pid=Api&P=0&h=180
8,Jeep,Grand Cherokee,2021,Green,4,4,10000,Jeep_Demo.mp4,https://tse3.mm.bing.net/th?id=OIP._slnbde78l4QiM1rOSJcawHaEo&pid=Api&P=0&h=180
9,Tesla,Model 3,2023,Blue,4,4,5,Tesla_Demo.mp4,https://tse1.mm.bing.net/th?id=OIP.O1NuYnFASWanPXGFNTab4gHaEK&pid=Api&P=0&h=180
10,Subaru,Outback,2022,Black,4,4,100,Subaru_Demo.mp4,https://tse3.mm.bing.net/th?id=OIP.xbtnO5BrGgX3w2jQa3tIMgHaE8&pid=Api&P=0&h=180
